id,name,slug,description,page_route,icon,sort_order,is_active,is_core,requires_feature_flag,created_at,updated_at,category
811ee235-a0e4-4982-9066-61fa728ba2e6,Dashboard,dashboard,Role-based executive and operations dashboards,/dashboard,LayoutDashboard,100,t,t,,2026-06-16 19:32:02.405058+00,2026-06-16 19:32:02.405058+00,nonprofit
bbe86886-6325-4c79-b458-a3d11d1db91a,AI Agents,ai-agents,"Browse and run AI agent teams across fundraising, grants, and operations",/agents,Bot,101,t,t,,2026-06-16 19:32:02.405058+00,2026-06-16 19:32:02.405058+00,nonprofit
879a9bef-b9e6-44dd-9a15-3ad4bc0057ea,Voice Notes,voice-notes,Capture and transcribe voice notes with AI action extraction,/voice-notes,Mic,108,t,f,,2026-06-16 19:32:02.405058+00,2026-06-18 18:07:08.625+00,nonprofit
ad610d0b-db2d-44c1-adef-f8621b57a01f,Donations,donations,"Donation center, campaigns, and gift tracking",/donations,BadgeDollarSign,114,f,f,,2026-06-16 19:32:02.405058+00,2026-06-18 18:07:08.625+00,nonprofit
91792c80-9c03-4930-a67f-c753fbb7c5f5,Events,events,"Event lifecycle management, ticketing, and post-event intelligence",/events,Calendar,107,t,f,,2026-06-16 19:32:02.405058+00,2026-06-18 18:07:08.625+00,nonprofit
9f8a515b-80d0-435c-afac-61e4f2452a1b,Integration Center,integration-center,"Connect CRM, email, calendar, and accounting integrations",/integrations,Plug,109,t,f,,2026-06-16 19:32:02.405058+00,2026-06-18 18:07:08.625+00,nonprofit
5eab88c5-22b3-4eab-9677-783c645fc060,Membership,membership,"Member directory, tiers, renewals, and onboarding",/membership,CreditCard,112,f,f,,2026-06-16 19:32:02.405058+00,2026-06-18 18:07:08.625+00,nonprofit
79de5adb-5e8b-4ff4-ba51-599ecd48e589,Programs,programs,Program outcomes tracking and impact reporting,/programs,Target,111,t,f,,2026-06-16 19:32:02.405058+00,2026-06-18 18:07:08.625+00,nonprofit
0bbe402f-46d1-4d0f-8a01-15e23d4b6a98,Impact Dashboard,impact-dashboard,Executive impact metrics and annual report generation,/impact-dashboard,BarChart3,117,f,f,,2026-06-16 19:32:02.405058+00,2026-06-18 18:07:08.625+00,nonprofit
a598d320-b4c2-452a-8259-489e51cb0aca,Grants,grants,"Grants pipeline, deadlines, and compliance tracking",/grants,FileText,103,t,f,,2026-06-16 19:32:02.405058+00,2026-06-18 18:07:08.624+00,nonprofit
bc4162e6-5bd7-49a3-8e71-cdc24b3d7a2c,Grant Writer,grant-writer,AI-assisted grant proposal drafting and review,/grant-writer,PenTool,116,f,f,,2026-06-16 19:32:02.405058+00,2026-06-18 18:07:08.625+00,nonprofit
10b9eeec-c655-4797-baa1-4c2b9e7f79d4,Engagement Scoring,engagement-scoring,Member engagement scores and AI next-best-action recommendations,/engagement-scoring,Sparkles,119,f,f,,2026-06-16 19:32:02.405058+00,2026-06-18 18:07:08.625+00,nonprofit
f36ef33e-0215-43c0-8e3c-c4423a6ea465,Volunteers,volunteers,"Volunteer roster, shift scheduling, and hour tracking",/volunteers,HandHeart,113,f,f,,2026-06-16 19:32:02.405058+00,2026-06-18 18:07:08.625+00,nonprofit
034463d0-83d1-4fb4-a80f-7b31c5195df7,Communications,communications,"Email campaigns, templates, and donor outreach",/communications,Mail,115,f,f,,2026-06-16 19:32:02.405058+00,2026-06-18 18:07:08.625+00,nonprofit
27c05328-1a3e-48e2-bcd4-bbaf57e9298e,Donor Retention,donor-retention,Lapsed donor re-engagement and retention campaigns,/donor-retention,Heart,110,t,f,,2026-06-16 19:32:02.405058+00,2026-06-18 18:07:08.625+00,nonprofit
76a3f833-5b06-4fb0-9cc2-f45a467c9dd6,Board Reports,board-reports,Board-ready reporting and executive summaries,/board-reports,BarChart2,102,t,f,,2026-06-16 19:32:02.405058+00,2026-06-18 18:07:08.624+00,nonprofit
59f49866-ebb1-4847-9de2-cd36a5f94a2c,Public Presence,public-presence,"Website layer, public pages, and brand presence settings",/public-presence,Globe,118,f,f,,2026-06-16 19:32:02.405058+00,2026-06-18 18:07:08.625+00,nonprofit
0392bc9b-425f-443e-a095-558c03d6ca77,Meetings,meetings,Meeting lifecycle management with AI summaries and Zoom integration,,Calendar,0,t,f,,2026-06-16 19:59:27.715892+00,2026-06-16 20:04:52.471+00,operations
68e24558-abbb-481b-8f30-744235a189b3,Data Health,data-health,CRM data quality monitoring and integrity checks,/data-health,ShieldCheck,105,t,f,,2026-06-16 19:32:02.405058+00,2026-06-18 18:07:08.625+00,nonprofit
bcc1b22f-0e8c-4afd-b524-f8cc0800bfe6,Donor Pipeline,donor-pipeline,Major gift pipeline and prospect management,/donor-pipeline,Users,104,t,f,,2026-06-16 19:32:02.405058+00,2026-06-18 18:07:08.624+00,nonprofit
318c5b27-dc08-45d0-a73d-26331023df58,Reconciliation,reconciliation,Financial reconciliation and fund accounting,/reconciliation,ArrowLeftRight,106,t,f,,2026-06-16 19:32:02.405058+00,2026-06-18 18:07:08.625+00,nonprofit
